sampled_node_idx,original_node_idx,review_id
0,6753,454601
1,6777,454599
2,6778,454600
3,6808,454598
4,6837,454596
5,6838,454597
6,6863,454595
7,6888,454593
8,6889,454594
9,6922,454592
10,6949,454591
11,7024,454589
12,7025,454590
13,7066,454588
14,7080,450850
15,7081,454586
16,7082,454587
17,7110,454583
18,7111,454584
19,7112,454585
20,12969,225420
21,12983,434321
22,13008,225418
23,13009,225419
24,13024,441269
25,13025,441270
26,13064,225414
27,13065,225415
28,13066,225416
29,13067,225417
30,13102,225413
31,13153,441268
32,13179,225412
33,13185,441266
34,13186,441267
35,13229,223294
36,13243,441262
37,13244,441263
38,13245,441264
39,13246,441265
40,13269,161273
41,13270,161274
42,13299,441259
43,13300,441260
44,13301,441261
45,13357,441257
46,13358,441258
47,13386,161272
48,13413,441253
49,13414,441254
50,13415,441255
51,13416,441256
52,13454,441252
53,13477,161271
54,13508,161270
55,13523,434320
56,13545,158693
57,13546,161266
58,13547,161267
59,13548,161268
60,13549,161269
61,13561,434062
62,13562,441251
63,13608,441248
64,13609,441249
65,13610,441250
66,13652,433925
67,13653,441246
68,13654,441247
69,13698,441244
70,13699,441245
71,13723,433965
72,13724,441243
73,13782,441242
74,13808,441241
75,18548,454419
76,18626,454417
77,18627,454418
78,18691,451322
79,18692,454416
80,18758,454413
81,18759,454414
82,18760,454415
83,18814,454411
84,18815,454412
85,18936,454409
86,18937,454410
87,19393,451136
88,19394,454402
89,19395,454403
90,19462,454400
91,19463,454401
92,19531,454399
93,19589,454397
94,19590,454398
95,19634,454395
96,19635,454396
97,19671,454393
98,19672,454394
99,21205,441127
100,21206,441128
101,21255,441126
102,21306,434595
103,21307,441125
104,21344,441124
105,21393,441123
106,21472,441120
107,21473,441121
108,21474,441122
109,23489,441073
110,23490,441074
111,23491,441075
112,23628,441071
113,23629,441072
114,23698,434059
115,23699,441070
116,23749,434058
117,23750,441068
118,23751,441069
119,23874,441064
120,23875,441065
121,23876,441066
122,23877,441067
123,23973,565498
124,23974,565499
125,24042,565494
126,24043,565495
127,24044,565496
128,24045,565497
129,24168,565492
130,24169,565493
131,24222,565491
132,24284,565490
133,25644,462856
134,25645,462857
135,25646,462858
136,25792,462852
137,25793,462853
138,25794,462854
139,25795,462855
140,25897,462849
141,25898,462850
142,25899,462851
143,25961,462848
144,26004,462846
145,26005,462847
146,26845,454293
147,26916,454291
148,26917,454292
149,27035,454290
150,27122,454289
151,27206,454287
152,27207,454288
153,27288,454284
154,27289,454285
155,27290,454286
156,27381,440995
157,27382,440996
158,27383,440997
159,27384,440998
160,27385,440999
161,27393,462829
162,27394,462830
163,27395,462831
164,27396,462832
165,27488,440994
166,27491,462826
